,job_title,company,posted,link
0,Data Scientist,"Odyssey Systems Consulting Group, Ltd.", 30 days ago,https://job-openings.monster.com/data-scientist-colorado-springs-co-us-odyssey-systems-consulting-group-ltd/608f5144-4f0a-4084-b4cc-f089ee3fd903
1,REMOTE Data Scientist,CyberCoders, 5 days ago,https://job-openings.monster.com/remote-data-scientist-denver-co-us-cybercoders/225425224
2,Data Scientist,Kaiser Permanente, 10 days ago,https://job-openings.monster.com/data-scientist-denver-co-us-kaiser-permanente/225075045
3,Data Scientist II,Ascent Services Group, 9 days ago,https://job-openings.monster.com/data-scientist-ii-broomfield-co-us-ascent-services-group/225114620
4,Clinical Content Specialist (Clinical Pharmacist),IBM, 9 days ago,https://job-openings.monster.com/clinical-content-specialist-clinical-pharmacist-englewood-co-us-ibm/225150128
5,Splunk Enterprise Security Architect - Remote,"Lumen Technologies, Inc", 18 days ago,https://job-openings.monster.com/splunk-enterprise-security-architect-remote-broomfield-co-us-lumen-technologies-inc/78c42454-f63a-480e-8481-c1fbc6690531
6,Full Stack Developer,Chenoa Information Services, 11 days ago,https://job-openings.monster.com/full-stack-developer-westminster-co-us-chenoa-information-services/225037835
7,"Associate Planning Engineer (Ops Academy) - Broomfield, CO",Lumen, 3 days ago,https://job-openings.monster.com/associate-planning-engineer-ops-academy-broomfield-co-broomfield-co-us-lumen/cc714827-8530-44aa-b93b-3c3f820d6af5
8,Senior Insurance Product Analyst,"CSAA Insurance Group, a AAA Insurer", 13 days ago,https://job-openings.monster.com/senior-insurance-product-analyst-colorado-springs-co-us-csaa-insurance-group-a-aaa-insurer/772ba40f-23ac-4117-ba70-15354233f7bd
9,Program Analyst Sr. Principal,SAIC,Today,https://job-openings.monster.com/program-analyst-sr-principal-colorado-springs-co-us-saic/8efbc7ba-83c2-46f7-85e5-533c92639c32
10,REMOTE Senior Data Scientist - Machine Learning - 150K-230K,CyberCoders,Today,https://job-openings.monster.com/remote-senior-data-scientist-machine-learning-150k-230k-new-york-ny-us-cybercoders/225457606
11,Customer Success Manager (Non-Profit Clients),Jobot,Today,https://job-openings.monster.com/customer-success-manager-non-profit-clients-denver-co-us-jobot/225455700
12,GCP Cloud Data Engineer,The Judge Group, 5 days ago,https://job-openings.monster.com/gcp-cloud-data-engineer-lone-tree-co-us-the-judge-group/225265055
13,Senior UI/UX Designer,Randstad Technologies, 9 days ago,https://job-openings.monster.com/senior-ui-ux-designer-denver-co-us-randstad-technologies/225110944
14,Senior Full Stack Developer  Microsoft Stack,PRI Technology, 17 days ago,https://job-openings.monster.com/senior-full-stack-developer-microsoft-stack-westminster-co-us-pri-technology/221146359
15,Data Scientist Artificial Intelligence - Remote,NR Consulting LLC,Today,https://job-openings.monster.com/data-scientist-artificial-intelligence-remote-boulder-co-us-nr-consulting-llc/c7519d88-039c-4059-aa69-64766fde611d
16,Senior Data Scientist,Tendril, 1 Day ago,https://job-openings.monster.com/senior-data-scientist-boulder-co-us-tendril/20f4540e-4693-4a53-bd36-3b667d073043
17,"Principal Data Scientist, Marketing Measurement & Attribution",HelloFresh, 2 days ago,https://job-openings.monster.com/principal-data-scientist-marketing-measurement-attribution-boulder-co-us-hellofresh/1e79f4c7-9129-4d93-91df-eec11e0ca10f
18,Lead Data Scientist - Provider Strategy & Analytics,Humana, 5 days ago,https://job-openings.monster.com/lead-data-scientist-provider-strategy-analytics-colorado-springs-co-us-humana/1d8a1c72-914d-47a7-b84b-615735e77128
19,"Data Scientist, Ecosystem Discovery",Square, 7 days ago,https://job-openings.monster.com/data-scientist-ecosystem-discovery-denver-co-us-square/a4331de3-3fb8-4765-9b2e-c0dbf7ed1186
20,Data Scientist - Knowledge Graph,Olive, 7 days ago,https://job-openings.monster.com/data-scientist-knowledge-graph-denver-co-us-olive/08490027-516e-4be4-abd8-4f68a83bec61
21,Research Associate - Biostatistician/Data Scientist,University of Colorado, 8 days ago,https://job-openings.monster.com/research-associate-biostatistician-data-scientist-aurora-co-us-university-of-colorado/7e9208bd-52f7-49be-9599-8894add1daf2
22,"Data Scientist, Finance",Zoom Video Communications, 10 days ago,https://job-openings.monster.com/data-scientist-finance-denver-co-us-zoom-video-communications/a5026ffd-0b1c-459c-a961-3205371c7a2a
23,Data Scientist - Level 3,Bluehawk, 10 days ago,https://job-openings.monster.com/data-scientist-level-3-colorado-springs-co-us-bluehawk/cea28bcd-0ab9-4f88-a645-21c62efcc028
24,Cloud Data Engineer/Data Scientist (Remote),Managed Business Solutions, 10 days ago,https://job-openings.monster.com/cloud-data-engineer-data-scientist-remote-denver-co-us-managed-business-solutions/b05f890a-6207-402c-8b5d-c2b244d5024f
25,Principal Data Scientist – 200000CC,Tech-Connect,not available,https://job-openings.monster.com/principal-data-scientist-–-200000cc-denver-co-us-tech-connect/d4643fbb-e43d-49f9-b95d-52049efb035d
